Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107295-91898,QB,Dorian,Dorian Thompson-Robinson,Thompson-Robinson,2.9000000423855252,9,6000,CLE@LV,CLE,LV,,,,,,QB
107295-28434,QB,Trevor,Trevor Siemian,Siemian,6.191999816894532,5,6000,DEN@NYJ,NYJ,DEN,,,,,,QB
107295-120639,WR,Quentin,Quentin Johnston,Johnston,12.09999974568685,3,6000,KC@LAC,LAC,KC,,,,,,WR/FLEX
107295-85846,QB,Zack,Zack Annexstad,Annexstad,,0,6000,PHI@TB,TB,PHI,Q,Undisclosed,,,,QB
107295-8023,QB,Josh,Josh Johnson,Johnson,0,2,6000,BUF@BAL,BAL,BUF,,,,,,QB
107295-53095,QB,Kyle,Kyle Allen,Allen,-0.1857142789023263,7,6000,PIT@IND,PIT,IND,,,,,,QB
107295-14194,QB,Blaine,Blaine Gabbert,Gabbert,2.2249999046325684,4,6000,KC@LAC,KC,LAC,,,,,,QB
107295-92020,QB,Kenny,Kenny Pickett,Pickett,9.516666412353516,12,6000,PHI@TB,PHI,TB,,,,,,QB
107295-69597,QB,Anthony,Anthony Brown Jr.,Brown Jr.,,0,6000,BUF@BAL,BUF,BAL,,,,,,QB
107295-92133,QB,Jason,Jason Bean,Bean,,0,6000,PIT@IND,IND,PIT,O,Foot,,,,QB
107295-63469,QB,Ben,Ben DiNucci,DiNucci,,0,6000,BUF@BAL,BUF,BAL,,,,,,QB
107295-86080,TE,Kyle,Kyle Pitts,Pitts,6.833333333333333,3,5900,NO@ATL,ATL,NO,,,,,,TE/FLEX
107295-129291,WR,Tank,Tank Dell,Dell,5.966666539510091,3,5900,JAC@HOU,HOU,JAC,Q,Chest,,,,WR/FLEX
107295-72776,RB,Alexander,Alexander Mattison,Mattison,10.733333587646484,3,5900,CLE@LV,LV,CLE,,,,,,RB/FLEX
107295-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,4.766666730244954,3,5900,PIT@IND,IND,PIT,,,,,,WR/FLEX
107295-157467,WR,Keon,Keon Coleman,Coleman,5.333333333333333,3,5900,BUF@BAL,BUF,BAL,,,,,,WR/FLEX
107295-129210,WR,Jordan,Jordan Addison,Addison,5,1,5800,MIN@GB,MIN,GB,Q,Ankle,,,,WR/FLEX
107295-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,10.133333206176758,3,5800,JAC@HOU,JAC,HOU,,,,,,WR/FLEX
107295-86229,WR,Jahan,Jahan Dotson,Dotson,0.9666666984558105,3,5800,PHI@TB,PHI,TB,,,,,,WR/FLEX
107295-92976,WR,Tutu,Tutu Atwell,Atwell,8.800000190734863,2,5800,LAR@CHI,LAR,CHI,,,,,,WR/FLEX
107295-156523,RB,Carson,Carson Steele,Steele,2.866666793823242,3,5800,KC@LAC,KC,LAC,,,,,,RB/FLEX
107295-41872,TE,Evan,Evan Engram,Engram,1,1,5800,JAC@HOU,JAC,HOU,Q,Hamstring,,,,TE/FLEX
107295-52451,RB,Samaje,Samaje Perine,Perine,2.6000000635782876,3,5800,KC@LAC,KC,LAC,,,,,,RB/FLEX
107295-56809,WR,Allen,Allen Lazard,Lazard,12.766666412353516,3,5800,DEN@NYJ,NYJ,DEN,,,,,,WR/FLEX
107295-55335,TE,David,David Njoku,Njoku,6.400000095367432,1,5700,CLE@LV,CLE,LV,Q,Ankle,,,,TE/FLEX
107295-69777,WR,Darnell,Darnell Mooney,Mooney,9.633333206176758,3,5700,NO@ATL,ATL,NO,,,,,,WR/FLEX
107295-94534,WR,Gabe,Gabe Davis,Davis,5.433333079020183,3,5700,JAC@HOU,JAC,HOU,Q,Shoulder,,,,WR/FLEX
107295-133472,WR,Ladd,Ladd McConkey,McConkey,7.299999872843425,3,5700,KC@LAC,LAC,KC,,,,,,WR/FLEX
107295-90561,WR,Jerry,Jerry Jeudy,Jeudy,8.833333333333334,3,5700,CLE@LV,CLE,LV,,,,,,WR/FLEX
107295-91598,RB,D'Andre,D'Andre Swift,Swift,5.466666539510091,3,5700,LAR@CHI,CHI,LAR,,,,,,RB/FLEX
107295-86312,WR,Alec,Alec Pierce,Pierce,14,3,5600,PIT@IND,IND,PIT,,,,,,WR/FLEX
107295-90933,RB,Antonio,Antonio Gibson,Gibson,5.933333079020183,3,5600,NE@SF,NE,SF,,,,,,RB/FLEX
107295-56265,TE,Mike,Mike Gesicki,Gesicki,7.533333460489909,3,5600,CIN@CAR,CIN,CAR,,,,,,TE/FLEX
107295-68712,WR,Tyler,Tyler Johnson,Johnson,5.633333206176758,3,5600,LAR@CHI,LAR,CHI,,,,,,WR/FLEX
107295-93541,RB,Javonte,Javonte Williams,Williams,5.299999872843425,3,5600,DEN@NYJ,DEN,NYJ,,,,,,RB/FLEX
107295-89493,RB,Chase,Chase Brown,Brown,4.933333396911621,3,5600,CIN@CAR,CIN,CAR,,,,,,RB/FLEX
107295-60858,WR,Christian,Christian Kirk,Kirk,5.266666730244954,3,5600,JAC@HOU,JAC,HOU,,,,,,WR/FLEX
107295-169776,WR,Christian,Christian Watson,Watson,8.25,2,5600,MIN@GB,GB,MIN,,,,,,WR/FLEX
